title,score,synopsis,genres,episodes,characters
Ranma 1/2,75,Gran equilibrio entre acción y desarrollo de personajes (75.0).,"Action, Adventure, Drama, Mecha, Sci-Fi",26.16,"Chihaya Yamase, Haruaki Akai, Kuriko Kazetsubaki, Kazumi Matsuda, Sayumi Morisaki, Raika Naruo, Shino Akai, Elizabeth, Yuna Miyama, Rin Kamishiro, Kaori Iba, Kazuki Shikimori, Yukihiko Nakamaru, Mitsuhiro Uki, Karei Hirosaki, Takashi Yamaguchi"
"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",66,Historia atrapante y bien ejecutada. Repetiría sin dudar (66.0).,"Drama, Mecha, Sci-Fi",1.0,"Chouji Suitengu, Nishiya, Hibari Ginza, Bob, Genba Ryougoku, Ran Yurigaoka, Kagura Tennouzu, Katsuya Shirogane, Miharu Tsurumaki, Tsujidou, Kamiya-souri, Ekoda, Tatsumi Saiga, Kaoru Koganei, Seijirou Togoshi, Toshiki Mizunokuchi, Shinsen Tennouzu, Ginji Niihari, Kanda, Wakaba, Shiina, Makabe, Seiji Ochiai"
LOVELESS,64,Muy recomendado: ritmo sólido y personajes entrañables (64.0).,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",51.02,"Chikane Himemiya, Nekoko, Reiko Oota, Makoto Saotome, Corona, Himeko Kurusugawa, Sister Miyako, Kazuki Oogami, Girochi, Souma Oogami, Tsubasa, Yukihito, Izumi, Otoha Kisaragi"
Chuuka Ichiban!,70,Sorprendente de principio a fin; superó mis expectativas (70.0).,"Comedy, Drama, Romance, Sci-Fi",25.15,"Megumi Amatsuka, Tasuke Yasuda, Genzou Soga, Pierre, Takao Gakusan, Bandou, Hitomonji Kobayashi, Roku Kimura, Yanagisawa, Hosoi, Megumi no Chichi, Takami, Keiko Tanaka, Aota, Yoshimi Shirasagi, Peter, Yuusuke Yasuda, Ichirou Fujiki, Chie, Miki Hanakain, Sofu Kobayashi, Mahoutsukai, Murakami, Kouchou, Kappa"
Shinpi no Sekai El Hazard (TV),68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Adventure, Fantasy, Mecha, Romance",51.75,"Momomi Momoi, Hirooka, Tomohisa Harada, Mikura Suzuki, Momokitchi Momoi, Kenichi Kurokawa"
Tenshi na Konamaiki,58,Muy recomendado: ritmo sólido y personajes entrañables (58.0).,"Comedy, Romance, Supernatural",25.64,"Dietrich von Lohengrin, Peter, Radu Barvon, Wendy, Angelica, William Walter Wordsworth, Esther Blanchett, Caterina Sforza, Virgil Walsh, Agnes de Watteau, Ion Fortuna, Isaak Fernand von Kämpfer, Elise Wasmeyer, Seth Nightroad, Noélle Bor, Cain Nightroad, Hercules Tres Iqus, Vanessa Walsh, Astharoshe Aslan, Abel Nightroad, Kate Scott, Enderle Koutza, Alessandro XVIII, Francesco di Medici, Hugue de Watteau"
Futakoi,80,Excelente experiencia; animación y banda sonora destacadas (80.0).,"Drama, Mecha, Sci-Fi",53.09,"Kou  Uraki, South Burning, Alpha A. Bate, Eiphar Synapse, Nina Purpleton, Chap Adel, Aiguille Delaz, Bernard Monsha, Chuck Keith, Anavel Gato, Cima Garahau, Bask Om, Mora Boscht, Haman Karn, Jamitov Hymen"
DearS,74,Historia atrapante y bien ejecutada. Repetiría sin dudar (74.0).,"Adventure, Drama, Mecha, Sci-Fi",24.98,"Ryosei Furuki, Kyosuke Kanou, Seisuke Kanou, Hiroshi Ichikawa, Kouji Sakai Jefferson, Miki Tsujiwaki, Rodrigo, Yuujirou Kamiyama"
SLAM DUNK,55,Muy recomendado: ritmo sólido y personajes entrañables (55.0).,"Drama, Mecha, Romance",74.55,"Masaharu Ogata, Tamayo Kizuki, Shoko Asami, Kaede Saito, Hiromi Fujimori, Ohjiro Mihara, Shikaisha, Sai Jounouchi, Ryou Misaki, Madoka Fujisaki, Kotarou Kobayashi, Ringo Seto, Maria Shibata, Ichirou Mihara, Shuko Suzuhara, Misaki Suzuhara, Hatoko Kobayashi, Tomoko Yamada, Arisu Fujisaki, Yuko Inada, Suzuka, Hikaru"
Kuro no Danshou,79,Excelente experiencia; animación y banda sonora destacadas (79.0).,"Action, Sci-Fi",48.97,"Keisuke Takahashi, Papa, Natsuki Mogi, Kouichirou Iketani, Takumi Fujiwara, Shingo Shouji, Kenji, Sayuki, Ryousuke Takahashi, Mako Satou, Kenta Nakamura, Yuuichi Tachibana, Takeshi Nakazato, Saori, Bunta Fujiwara, Itsuki Takeuchi, Hiroshi Fumihiro, Hiromichi, Miki, Shouichi, Narrator, Akio, Keiichi Tsuchiya, Masahiko, Jouhou-buchou"
Kidou Senshi Gundam Double Zeta,85,Historia atrapante y bien ejecutada. Repetiría sin dudar (85.0).,"Action, Adventure, Comedy, Ecchi, Sci-Fi",50.98,"Jing, Kir"
MEZZO,88,Sorprendente de principio a fin; superó mis expectativas (88.0).,"Comedy, Drama, Hentai, Romance",23.69,"Kouta Otoyama, Shima Katase, Akira Kayama, Jinrai Shirogane, Ayaka Machida, Arisa Glennorth, Yayoi Fujisawa, Rinna Kazamatsuri, Masaru Odawara, Leila Barthes, Richard James, Joey Jones, Chiaki Katase"
Mai-Otome,66,Muy recomendado: ritmo sólido y personajes entrañables (66.0).,"Action, Adventure, Fantasy, Horror, Mecha, Sci-Fi",5.06,"Spark, Kashue, Parn, Shiris, Reona, Ashram, Orson, Deedlit, Leylia, Pirotessa  Merestianna, Wagnard, Maar, Neese, Etoh, Slayn, Greevus, Karla, Garrack, Leaf, Raina"
Ranma 1/2,74,Historia atrapante y bien ejecutada. Repetiría sin dudar (74.0).,"Action, Adventure, Drama, Fantasy, Romance",13.17,"Kou  Uraki, South Burning, Alpha A. Bate, Eiphar Synapse, Nina Purpleton, Chap Adel, Aiguille Delaz, Bernard Monsha, Chuck Keith, Anavel Gato, Cima Garahau, Bask Om, Mora Boscht, Haman Karn, Jamitov Hymen"
ONE PIECE,70,Sorprendente de principio a fin; superó mis expectativas (70.0).,"Drama, Mecha, Sci-Fi",11.58,"Rumina Asagi, Ginosuke Isuzu, Shielle Messiah, Reiyon, Tail Ashford, Chelsea Rorec, Ruri Sarasa"
Sunabouzu,74,Sorprendente de principio a fin; superó mis expectativas (74.0).,"Action, Drama, Horror, Mystery, Supernatural",25.93,"Soprano, Choutarou, Nezumi Kid, Clyde, Shiine, Muura Maasa, Chacha, Piisuke, Urara, Mosuke, Elizabeth, Dorothy, Oyuki, Mary, Ka Zandan, Pikapon, Mayachon, Rascal, Sorges, Yordas, Haideyansu, Genius, Marine, Barabaraman, GauGau"
Rizelmine,59,Sorprendente de principio a fin; superó mis expectativas (59.0).,"Action, Comedy, Drama, Fantasy, Mahou Shoujo",6.67,"Gyunei Guss, Hathaway Noa, Amuro Ray, Nanai Miguel, Rezin Schnyder, Adenaur Paraya, Mirai Yashima, Bright Noa, Char Aznable, Lalah Sune, Quess Paraya, Cameron Bloom, Haro, Kayra Su, Astonaige Medoz, Cheimin Noa, Horst Harness, October Saran, Meran, Christina, Katherine, Lyle, Anna Hanna, Kaises M. Buyer, Chan Agi"
TRIGUN,70,Muy recomendado: ritmo sólido y personajes entrañables (70.0).,"Action, Drama, Psychological, Sci-Fi",27.23,"Masakazu Tougou, Kouriyama, Eri Sawachika, Pyotr, Lala Gonzalez, Yakumo Tsukamoto, Junko Tonami, Genkai Gotou, Kouji Yakushamaru, Kenji Harima, Tenma Tsukamoto, Tae Anegasaki, Itoko Osakabe, Akira Takano, Kazuya Tanaka, Mikoto Suou, Tsumugi Yuuki, Jirou Yoshidayama, Kentarou Nara, Harry McKenzie, Fuyuki Takeichi, Oji Karasuma, Megumi Sagano, Karen Ichijou, Sarah Adiemus"
LOVELESS,73,Sorprendente de principio a fin; superó mis expectativas (73.0).,"Comedy, Drama, Romance, Slice of Life",48.95,"Rentarou Futaba, Kaoruko Ichijou, Lala Hinagiku, Lulu Hinagiku, Sumireko Ichijou, Souju Shirogane, Koi Chigusa, Sara Shirogane, Ui Chigusa, Ai Momoi, Ikafire, Nishimori Hariyama, Kira Sakurazuki, Yura Sakurazuki, Mai Momoi"
HUNTER×HUNTER,67,Sorprendente de principio a fin; superó mis expectativas (67.0).,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",26.83,"Chrno, Aion, Ewan Remington, Joshua Christopher, Mary Magdalene, Rosette Christopher, Koushaku Duffau, Sister Anna, Azmaria Hendric, Florette Harvenheit, Satella Harvenheit, Kate Valentine, Shader, Genai, Edward Hamilton, Shishaku Lerajie, Rizelle, Carv, Narrator"
.hack//SIGN,86,Excelente experiencia; animación y banda sonora destacadas (86.0).,"Action, Adventure, Drama, Mecha, Romance",21.9,"Azusa Ishida, Akane Suzumiya, Mayu Tamano, Ayu Daikuuji, Takayuki Narumi, Haruka Suzumiya, Mitsuki Hayase, Fumio Hoshino, Shinji Taira, Motoko Kouzuki, Souchirou Suzumiya, Yoshiyuki Itou, Kaoru Suzumiya, Kenzou Sakiyama, Hotaru Amakawa, Manami Homura"
Gate Keepers,66,Historia atrapante y bien ejecutada. Repetiría sin dudar (66.0).,"Drama, Mecha, Sci-Fi",1.14,"Michiru, Sora, Yukito Kunisaki, Potato, Ryuuya, Misuzu Kamio, Haruko Kamio, Minagi Tohno, Yukito no Haha, Uraha, Saika Shino, Maika Shino, Hijiri Kirishima, Keisuke Tachibana, Kanna, Kano Kirishima, Minagi no Haha, Yaobikuni, Minagi no Chichi, Kano no Haha"
Gate Keepers 21,68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Action, Comedy, Ecchi",12.29,"Astral, King Fabris, Sharon, Mew, Nina, Delta, Hide, Maria, Stallion, Rita, Kaiser, Wortoshika, Karta, Ariadne, Menza, Tessio, Silvanna"
Chou Henshin Cosprayers,68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",1.0,"Shuusuke Fuji, Hajime Mizuki, Takahisa Kajimoto, Gakuto Mukahi, Kachirou Katou, Bunta Marui, Youhei Tanaka, Jirou Akutagawa, Ryoma Echizen, Eiji Kikumaru, Ryou Kisarazu, Choutarou Ohtori, Keigo Atobe, Kiyosumi Sengoku, Sakuno Ryuuzaki, Akira Kamio, Takeshi Momoshiro, Yuushi Oshitari, Ichiuma Kita, Kunimitsu Tezuka, Akaya Kirihara, Tarou Sakaki, Jackal Kuwahara, Kyousuke Uchimura, Jin Akutsu"
Kidou Shin Seiki Gundam X,84,Excelente experiencia; animación y banda sonora destacadas (84.0).,"Action, Adventure, Drama, Mecha, Sci-Fi",50.11,"Kazuki Makabe, Yukie Kariya, Sakura Kaname, Yumiko Toomi, Kouyou Kasugai, Canon Memphis, Kenji Kondou, Mamoru Kodate, Seri Tatekami, Fumihiko Makabe, Soushi Minashiro, Karin Kuramae, Maya Toomi, Shouko Hazama, Chizuru Toomi, Kyousuke Mizoguchi, Michio Hino, Tsubaki Minashiro, Rina Nishio, Chisato Kodate, Akira Nishio, Hiroto Douma, Ayano Kondou, Olga Katina Betrenko, Jeremy Lee Marcy"
Appleseed (Movie),66,Sorprendente de principio a fin; superó mis expectativas (66.0).,"Comedy, Drama, Mahou Shoujo, Music, Romance, Supernatural",39.85,"Rampa, Hakkai Cho, Goku Son, Gyokumen Koushou, Lirin, Kami-sama, Sanzo Koumyou, Gojou Sha, Sanzou Genjou, Kougaiji, Ginkaku, Yaone, Ni Jianyi, Dokugakuji, Jeep, Kanzeon Bosatsu, Kinkaku"
Chou Henshin Cosprayers,82,Sorprendente de principio a fin; superó mis expectativas (82.0).,"Adventure, Comedy, Romance",13.12,"Masataka Takayanagi, Mitsuomi Takayanagi, Masahiro Sanada, Bob Makihara, Souichirou Nagi, Maya Natsume, Aya Natsume, Chiaki Kounoike, Dan Inosato, Bunshichi Tawara, Ishimatsu, Kagesada Sugano, Makiko Nagi, Shin Natsume, Emi Isuzu, Tsutomu Ryuuzaki, Shinobu Kagurazaka, Mana Kuzunoha, Dougen Takayanagi, Wu-Tan, Shiro Tagami, Kaima Natsume, Chiein Fuu, Yoshiki Satou, Furio Suko"
Kidou Senshi Gundam SEED,58,Excelente experiencia; animación y banda sonora destacadas (58.0).,"Comedy, Drama, Fantasy, Mahou Shoujo, Romance",26.74,"Haruto Sakaki, Akio Kurosawa, Amon, Miho Karasuma, Yurika Doujima, Robin Sena, Nagira Shunji, Michael Lee, Takuma Zaizen, Touko Masaki"
Fushigi Yuugi,73,Sorprendente de principio a fin; superó mis expectativas (73.0).,"Action, Adventure, Comedy, Sci-Fi",26.34,"Bart Garsus, Duelo McFile, Buzam A. Calessa, Meia Gisborn, Ezra Vieil, Jura Basil Elden, Parfet Balblair, Paiway Underberg, Barnette Orangello, Hibiki Tokai, Dita Liebely, Rabat, Pyoro, Gascogne Rheingau, Magno Vivian"
Initial D THIRD STAGE,65,Excelente experiencia; animación y banda sonora destacadas (65.0).,"Comedy, Drama, Romance",6.87,"Homura Toushin, Hakkai Cho, Tenpou Gensui, Goku Son, Kougaiji, Gojou Sha, Kenren Taishou, Konzen Douji, Sanzou Genjou, Shien, Lirin, Yaone, Sanzo Koumyou, Zenon, Kanzeon Bosatsu, Ni Jianyi, Chin Yisou, Dokugakuji, Jeep, Nataku Taishi, Gyokumen Koushou, Goujun"
Triangle Heart: Sweet Songs Forever,64,Gran equilibrio entre acción y desarrollo de personajes (64.0).,"Action, Adventure, Comedy, Drama, Fantasy",12.97,"Honey Kisaragi, Scarlet Claw, Natsuko Aki, Shitsuji, Seiji Hayami, Sister Jill, Black Claw, Cobalt Claw, Gold Claw, Destroy Panther, Rinko Terada, Scope Panther, Tokimura, Mikami, Mayumi Takahashi, Mannen Kakarichou, Kyouko Izumiya"
Power Stone,68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",13.28,"Touya Kinomoto, Ashura-ou, Fai D. Flourite, Ryuu-ou, Arashi Kishu, Sumomo, Chii, Kimihiro Watanuki, Syaoran, Syaoran Li, Sakura, Tomoyo, Yuuko Ichihara, Chun Hyang, Keefer, Caldina, Kotoko, Fei Wong Reed, Oruha, Charme, Xing Huo, Kusanagi Shiyu, Kyle Rondart, Primera, Debonair"
Final Approach,69,Historia atrapante y bien ejecutada. Repetiría sin dudar (69.0).,"Action, Comedy, Mecha, Romance, Sci-Fi",25.74,"Haruto Sakaki, Akio Kurosawa, Amon, Miho Karasuma, Yurika Doujima, Robin Sena, Nagira Shunji, Michael Lee, Takuma Zaizen, Touko Masaki"
Xenosaga: THE ANIMATION,82,Muy recomendado: ritmo sólido y personajes entrañables (82.0).,"Action, Comedy, Drama, Fantasy, Mahou Shoujo",11.59,"Yuji Sakurai, Rikiya Kitazawa, Yoshiyuki Taira, Yukio Tanaka, Ran, Hiromi Masuoka, Manabu Miyazawa, Tsunemi Chiba, Masaru Hyodou, Eiji Kimura, Ryusuke Minami, Maho Minami, Tanabe, Izumi Ishiguro, Kenichi Saitou, Momoko Ogasawara, Kazuo Satou, Eddie Lee, Page, Yoshito Morozumi, Beck, Matt Reed, Kayo, Leon Sykes"
Love Hina Christmas Special: Silent Eve,75,Gran equilibrio entre acción y desarrollo de personajes (75.0).,"Action, Adventure, Drama, Romance",1.0,"Kaoruko Ichijou, Lala Hinagiku, Lulu Hinagiku, Sumireko Ichijou, Souju Shirogane, Koi Chigusa, Sara Shirogane, Nozomu Futami, Keisuke Kosaka, Ui Chigusa, Ai Momoi, Kira Sakurazuki, Yura Sakurazuki, Mai Momoi"
Futakoi,55,Excelente experiencia; animación y banda sonora destacadas (55.0).,"Drama, Mecha, Sci-Fi",27.25,"Keisuke Takahashi, Natsuki Mogi, Kouichirou Iketani, Takumi Fujiwara, Shingo Shouji, Kenji, Ryousuke Takahashi, Kenta Nakamura, Yuuichi Tachibana, Kyouichi Sudou, Takeshi Nakazato, Wataru Akiyama, Bunta Fujiwara, Itsuki Takeuchi, Papa, Seiji Iwaki, Kazumi Akiyama, Narrator, Masashi Suzuki, Tsukamoto, Hiroshi Fumihiro"
Saiyuuki RELOAD GUNLOCK,68,Excelente experiencia; animación y banda sonora destacadas (68.0).,"Action, Comedy, Sports",5.44,"Haku, Chihiro Ogino, Yubaba, Zeniba, Bou, Kaonashi, Akio Ogino, Yuuko Ogino, Kamajii, Rin, Kashira, Makkuro-Kurosuke, Ootori-sama, Oshira-sama, Kawa no Kami, Aogaeru"
Soukyuu no Fafner,53,Muy recomendado: ritmo sólido y personajes entrañables (53.0).,"Action, Drama, Mystery, Supernatural",51.82,"Kiba, Darcia III, Tsume, Fukurou, Darcia I, Leara, Harmona, Jagara, Cheza, Iyek, Toboe, Cher Degre, Quent Yaiden, Hige, Zali, Blue, Rou Ookami, Cole, Hubb Lebowski, Myuu, Neige, Moss, Dakkan-tai Taichou, Bartender, Hebitsukai-onna"
X,69,Sorprendente de principio a fin; superó mis expectativas (69.0).,"Comedy, Ecchi, Romance, Sci-Fi",178.67,"Kouhei Oguri, Takumi Kusaka, Yosuke Kadomatsu, Masayuki Kikuchi, Saburou Umezu"
Kamikaze Kaitou Jeanne,61,Muy recomendado: ritmo sólido y personajes entrañables (61.0).,"Action, Drama, Fantasy, Romance",1.37,"Nenene Sumiregawa, Lee Linho, Anita King, Nancy Makuhari, Junior, Yomiko Readman, Wendy Earhart, Joseph Carpenter, Drake Anderson, Maggie Mui, Sonny Wong, Michelle Cheung, Hisami Hishishii, Kim-san, John Woo"
Lodoss-tou Senki: Eiyuu Kishi Den,79,Gran equilibrio entre acción y desarrollo de personajes (79.0).,"Action, Fantasy, Sci-Fi",48.05,"Sayoko Mishima, Skuld, Senbei, Lind, Sora Hasegawa, Toshiyuki Aoshima, Belldandy, Urd, Keiichi Morisato, Otaki Aoyama, Megumi Morisato, Ex, Toraichi Tamiya, Koshian, Chrono, Marller, Ere"
Onegai☆Twins,88,Sorprendente de principio a fin; superó mis expectativas (88.0).,"Comedy, Ecchi, Fantasy, Romance",11.17,"Chrono Harlaown, Alisa Bannings, Nanoha Takamachi, Suzuka Tsukimura, Amy Limietta, Linith, Lindy Harlaown, Alicia Testarossa, Fate Testarossa, Kyouya Takamachi, Hayate Yagami, Vita, Arf, Reinforce II, Shamal, Reinforce I, Yuuno Scrya, Signum, Miyuki Takamachi, Sachie Ishida, Lotte Liese, Noel K. Ehrlichkeit, Alia Liese, Leti Lowran, Zafila"
Chrno Crusade,75,Muy recomendado: ritmo sólido y personajes entrañables (75.0).,"Action, Drama, Mecha, Sci-Fi",1.0,"Sayoko Mishima, Skuld, Senbei, Lind, Sora Hasegawa, Toshiyuki Aoshima, Belldandy, Urd, Keiichi Morisato, Otaki Aoyama, Megumi Morisato, Ex, Toraichi Tamiya, Koshian, Chrono, Marller, Ere"
Onegai☆Twins,78,Historia atrapante y bien ejecutada. Repetiría sin dudar (78.0).,"Comedy, Drama, Romance",49.75,"Chiyochichi, Kimura, Tomo Takino, Kagura, Koyomi Mizuhara, Yukari Tanizaki, Ayumu Kasuga, Minamo Kurosawa, Sakaki, Kaori, Chihiro, Chiyo Mihama, Yuka, Masaaki Ooyama, Miruchi, Kimura no Tsuma, Kamineko, Maya, Tadakichi-san, Nekokoneko"
Power Stone,68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Action, Drama, Mecha, Romance, Sci-Fi",24.95,"Tabool, Hamdo, Shuuzou Matsutani, Lala-Ru, Soon, Nabuca, Abelia, Sis, Sara Ringwalt, Boo, Elamba, Kazam, Oda, Isha"
Kanon,67,Excelente experiencia; animación y banda sonora destacadas (67.0).,"Action, Adventure, Sci-Fi",12.57,"Rampa, Hakkai Cho, Goku Son, Gyokumen Koushou, Lirin, Kami-sama, Sanzo Koumyou, Gojou Sha, Sanzou Genjou, Kougaiji, Ginkaku, Yaone, Ni Jianyi, Dokugakuji, Jeep, Kanzeon Bosatsu, Kinkaku"
Uchuu no Stellvia,65,Gran equilibrio entre acción y desarrollo de personajes (65.0).,"Action, Drama, Fantasy, Mystery, Romance",25.86,"Megumi Shitow, Mamoru Torigai, Quon Kisaragi, Haruka Shitow, Reika Mishima, Jin Kunugi, Sayoko Nanamori, Makoto Isshiki, Shirow Watari, Kim Hotal, Johji Futagami, Maya Kamina, Ayato Kamina, Itsuki Kisaragi, Hiroko Asahina, Masayoshi Kuki, Souichi Yakumo, Elvy Hadhiyat, Helena von Baehbem, Ernst von Bähbem, Shougo Rikudo"
Kenpuu Denki Berserk,66,Historia atrapante y bien ejecutada. Repetiría sin dudar (66.0).,"Comedy, Drama, Romance, Slice of Life",26.4,"Sousuke Sagara, Kaname Chidori, Kurz Weber, Shinji Kazama, Nora Lemming, Teletha Testarossa, Andrei Kalinin, Kugayama Takuma, Richard Mardukas, AL, Kyouko Tokiwa, Zaied, Melissa Mao, Seina, Eri Kagurazaka, Marcy Takenaka, Mizuki Inaba, Gauron, Lian Shaopin, Jackson, Grace Wiseman, Mira Kudan, Gail McAllen, Killy B. Sailor, Edward Sachs"
Witch Hunter ROBIN,62,Historia atrapante y bien ejecutada. Repetiría sin dudar (62.0).,"Action, Drama, Psychological, Sci-Fi",179.26,"Meili Zhou, Maoxing Liu, Leien, Feihong Lan, Silang, Xielu"
Initial D FOURTH STAGE,79,Historia atrapante y bien ejecutada. Repetiría sin dudar (79.0).,"Comedy, Drama, Fantasy",25.81,"Hakkai Cho, Goku Son, Gyokumen Koushou, Lirin, Sanzo Koumyou, Gaty Nene Hawk, Gojou Sha, Sanzou Genjou, Kougaiji, Yaone, Ni Jianyi, Dokugakuji, Zakuro, Hazel Grosse, Jeep, Kanzeon Bosatsu"
Kidou Butouden G Gundam,65,Sorprendente de principio a fin; superó mis expectativas (65.0).,"Action, Drama, Fantasy, Mystery, Romance",11.77,"Gon Freecss, Hisoka Morow, Wing, Abengane, Ging Freecss, Genthru, Franklin Bordeaux, Nickes, Senritsu, Eeta, Biscuit Krueger, Kortopi, Killua Zoldyck, Kurapika, Kozufutoro, Shalnark Ryuseih, Feitan Portor, Shizuku Murasaki, Leorio Paradinight, Phinks Magcub, Milluki Zoldyck, Machi Komacine, Tsezguerra, Battera, Puhat"
Maria-sama ga Miteru,88,Gran equilibrio entre acción y desarrollo de personajes (88.0).,"Action, Comedy, Mecha, Sci-Fi",24.06,Kei Ogata
Mezzo Forte,64,Excelente experiencia; animación y banda sonora destacadas (64.0).,"Action, Drama, Sports",1.53,"Freedert, Satoshi Hiwatari, Dark Mousy, Towa no Shirube, Risa Harada, Daichi Niwa, Ehrlich von Vandembagu, Daisuke Niwa, Kei Hiwatari, Krad, Daiki Niwa, Riku Harada, Kosuke Niwa, Takeshi Saehara, Rika, Mio Hio, Ayaka Hatori, Emiko Niwa, Second Hand of Time, Ispector Saehara, Menou Kurashina, Misaki Nishizawa, Classmate, Kaseta, Bianca von Vandembagu"
Aa! Megami-sama! (TV),70,Sorprendente de principio a fin; superó mis expectativas (70.0).,"Action, Drama, Fantasy, Mystery, Romance",25.7,"Makoto Shishio, Touma Sakaki, Kamatari Honjou, Shougo Amakusa, Yumi Komagata, Yahiko Myojin, Sanosuke Sagara, Tsubaki, Yutarou Tsukayama, Tae Sekihara, Tsubame Sanjou, Kenshin Himura, Arundo Akamatsu, Jinei Udoh, Megumi Takani, Gasuke, Kanryuu Takeda, Jinpuu, Shirojou, Iwanbou, Soujirou Seta, Hajime Saitou, Daigoro Okuma, Shura, Souzou Sagara"
Pia Carrot e Youkoso!! 2 DX,71,Sorprendente de principio a fin; superó mis expectativas (71.0).,"Action, Romance, Supernatural",25.66,"Sagi, Minato Namikaze, Kimimaro Kaguya, Genzou, Genma Shiranui, Shigure, Shibire, Orochimaru, Sazanami, Kuromaru, Zabuza Momochi, Akamaru, Guruko, Naruto Uzumaki, Sasuke Uchiha, Gaara, Hiruzen Sarutobi, Shibi Aburame, Ebisu, Itachi Uchiha, Rasa, Kakashi Hatake, Mizuki Touji, Seimei, Tenten"
Uchuu no Stellvia,67,Sorprendente de principio a fin; superó mis expectativas (67.0).,"Action, Comedy, Sports",52.56,"Reo Mouri, Hotaru Imai, Narumi Anjo, Persona, Nonoko Ogasawara, Youichi Hijiri, Sumire Shouda, Noda, Misaki, Natsume Hyuuga, Mikan Sakura, Kaname Sonou, Misaki Harada, Mr. Bear, Shuuichi Sakurano, Kokoro Yome, Jinno, Subaru Imai, Yuu Tobita, Anna Umenomiya, Wakako Usami, Ruka Nogi, Tsubasa Andou, Kitsuneme, Yura Otonashi"
Macross Zero,68,Gran equilibrio entre acción y desarrollo de personajes (68.0).,"Action, Adventure, Drama, Mecha, Sci-Fi",26.2,"Spark, Kashue, Parn, Shiris, Reona, Ashram, Orson, Deedlit, Leylia, Pirotessa  Merestianna, Wagnard, Maar, Neese, Etoh, Slayn, Greevus, Karla, Garrack, Leaf, Raina"
Mai-HiME,70,Excelente experiencia; animación y banda sonora destacadas (70.0).,"Action, Romance, Supernatural",24.91,"Sena Kobayakawa, Ryokan Kurita, Youichi Hiruma, Kengo Mizumachi, Manabu Yukimitsu, Mamori Anezaki, Daikichi Komusubi, Shun Kakei, Gen Takekura, Haruto Sakuraba, Seijuro Shin, Tarou Raimon, Natsuhiko Taki, Jeremy Watt, Agon Kongou, Mamoru Banba, Koutaro Sasaki, Shozo Togano, Kazuki Juumonji, Koji Kuroki, Hayato Akaba, Doburoku Sakaki, Shien Mushanokoji, Jo Tetsuma, Patrick Spencer"
Ijigen no Sekai El Hazard,72,Gran equilibrio entre acción y desarrollo de personajes (72.0).,"Action, Sci-Fi",25.35,"Yoshitsune, General Edward Uranus III, Hitomi, Hades, Deunan Knute, Nike, Briareos Hecatonchires, Athena Areios, Gilliam Knute, Lance, Kudoh, Electryon, Cadmus"
Hagane no Renkinjutsushi,70,Excelente experiencia; animación y banda sonora destacadas (70.0).,"Action, Adventure, Fantasy, Horror, Mecha, Sci-Fi",26.8,"Jean Fabre, Joseph Carpenter, Genjo Sanzo, Nancy Makuhari, Drake Anderson, Wendy Earhart, Yomiko Readman, Otto Lilienthal, Ikkyu Soujun, Gennai Hiraga, Stephen Wilcox, Ludwig van Beethoven"
Soukyuu no Fafner,54,Excelente experiencia; animación y banda sonora destacadas (54.0).,"Action, Fantasy, Sci-Fi",62.21,"Reo Mouri, Hotaru Imai, Narumi Anjo, Persona, Nonoko Ogasawara, Youichi Hijiri, Sumire Shouda, Noda, Misaki, Natsume Hyuuga, Mikan Sakura, Kaname Sonou, Misaki Harada, Mr. Bear, Shuuichi Sakurano, Kokoro Yome, Jinno, Subaru Imai, Yuu Tobita, Anna Umenomiya, Wakako Usami, Ruka Nogi, Tsubasa Andou, Kitsuneme, Yura Otonashi"
Chrno Crusade,70,Historia atrapante y bien ejecutada. Repetiría sin dudar (70.0).,"Action, Drama, Mystery, Sci-Fi",12.59,"Toki, San, Kaya, Bou Jiko, Eboshi Gozen, Ashitaka, Kohroku, Moro no Kimi, Okkotonushi, Gonza, Yakul, Hii-sama, Shishigami, Kodama"
Ijigen no Sekai El Hazard,58,Sorprendente de principio a fin; superó mis expectativas (58.0).,"Comedy, Romance",25.91,"Taiko Koizumi, Amagumo, Makoto Kawazu, Tamehiko Kawano, Kanta Mizuno, Natsuko Kawaguchi, Mariko, Mitsuru Koidemizu, Haruo Kawaguchi, Akio Kawaguchi, Mugenya, Junko Asagiri, Stryker, Kaoru Kaizuka, Fuyuo Kawaguchi, Narrator"
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,78,Historia atrapante y bien ejecutada. Repetiría sin dudar (78.0).,"Drama, Mecha, Sci-Fi",1.01,"Kouhei Oguri, Takumi Kusaka, Yosuke Kadomatsu, Masayuki Kikuchi, Saburou Umezu"
